baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
tusk,16,5,none,20000,5,40.2455,0.0000,885.4000,119.7757,
tusk,16,5,none,25000,5,1417.7780,0.0000,25000.0000,288.9896,
tusk,16,5,none,30000,5,248.3545,0.0000,5463.8000,155.8344,
tusk,16,5,none,40000,5,1411.6030,0.0000,31055.2667,328.1939,
tusk,16,5,none,50000,5,1372.2503,0.0000,30189.5077,277.2376,
tusk,22,7,none,500,5,50.0856,0.0000,500.0000,1396.2398,
tusk,22,7,none,1000,5,100.6191,0.0000,1000.0000,644.9195,
tusk,22,7,none,2000,5,204.0721,0.0000,2000.0000,331.5115,
tusk,22,7,none,4000,5,277.4818,0.0000,4000.0000,161.6860,
tusk,22,7,none,6000,5,611.8160,0.0000,6000.0000,195.2815,
tusk,22,7,none,8000,5,816.8074,0.0000,8000.0000,198.1239,
tusk,22,7,none,10000,5,1019.4545,0.0000,10000.0000,228.1229,
tusk,22,7,none,12000,5,1223.2219,0.0000,12000.0000,267.6449,
tusk,22,7,none,15000,5,1527.3777,0.0000,15000.0000,363.0477,
tusk,22,7,none,20000,5,1920.3912,0.0000,20000.0000,399.3380,
tusk,22,7,none,25000,5,1914.9321,0.0000,25000.0000,393.7987,
tusk,22,7,none,30000,5,1950.5160,0.0000,30000.0000,410.9621,
tusk,22,7,none,40000,5,1937.8920,0.0000,40000.0000,400.5552,
tusk,22,7,none,50000,5,1898.1979,0.0000,41760.3538,369.2791,
